anon_id,gender,birth_year,native_language,language_used_at_home,non_native_language_1,yrs_of_study_lang1,study_in_classroom_lang1,ways_of_study_lang1,non_native_language_2,yrs_of_study_lang2,study_in_classroom_lang2,ways_of_study_lang2,non_native_language_3,yrs_of_study_lang3,study_in_classroom_lang3,ways_of_study_lang3,course_history,yrs_of_english_learning,yrs_in_english_environment,age
ab4,Female,1968,Korean,Korean,English,more than 5 years,yes,Studied grammar;Studied vocabulary;Teacher spoke to me in English;Studied pronunciation,,,no,,,,no,,161;183,more than 5 years,more than 5 years,38
ca4,Male,1968,Chinese,Chinese,English,more than 5 years,yes,Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes,,,no,,,,no,,162;173;184;195;206;276;287;298;320;348;349;350;351;352,more than 5 years,1-2 years,38
fl6,Male,1989,Arabic,Arabic;English,English,less than 1 year,no,I lived in a country where they spoke English,,,no,,,,no,,162;173;184;195;206;216;227;242;249;260,less than 1 year,less than 1 year,18
fi5,Female,1977,Korean,Korean,English,more than 5 years,yes,Studied grammar;Studied vocabulary;Teacher corrected my mistakes,Japanese,less than 1 year,yes,Studied grammar;Studied vocabulary;Studied pronunciation,,,no,,6;30;165;173;184;195;206;230;241;252;263,more than 5 years,1-2 years,30
ft2,Female,1981,Korean,Korean,German,1-2 years,yes,Studied grammar;Studied pronunciation,,,no,,,,no,,162;173;184;195;206;219;230;241;252;263,1-2 years,none,25
gk3,Male,1980,Turkish,Turkish,English,more than 5 years,yes,Studied grammar;Teacher spoke to me in English;Studied pronunciation;Teacher corrected my mistakes;Wrote paragrphs/essays,Russian,less than 1 year,yes,Studied grammar;Studied vocabulary;Practiced speaking in class;Teacher spoke to me in german;Studied pronunciation,German,1-2 years,yes,Studied grammar;Studied vocabulary;Practiced speaking in class;Teacher spoke to me in german;Teacher corrected my mistakes,162;173;184;195;206,more than 5 years,less than 1 year,26
gg2,Female,1973,Korean,Korean,English,3-5 years,yes,Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs);Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes,,,no,,,,no,,173;184;195;206;216;241;252;264,less than 1 year,less than 1 year,34
fp6,Male,1975,Turkish,Turkish;Farsi;Yugoslavian,German,less than 1 year,yes,Had a native-speaker teacher,,,no,,,,no,,160;171;193;204,less than 1 year,3-5 years,30
fo8,Female,1972,Chinese,Chinese,English,more than 5 years,yes,Studied grammar;Had a native-speaker teacher;Studied vocabulary;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays,Chinese,more than 5 years,yes,Studied grammar;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays,,,no,,158;169;180;191;202,more than 5 years,none,34
bc4,Male,1984,Arabic,Arabic,English,1-2 years,yes,Studied grammar;Studied vocabulary,,,no,,,,no,,158;169;180;191;202,3-5 years,less than 1 year,22
gv1,Male,1981,Korean,Korean;English,English,more than 5 years,yes,Studied grammar;Studied vocabulary,,,no,,,,no,,158;169;180;191;202;217;228;239;250;261,more than 5 years,none,25
ez7,Male,1987,English,Arabic,Arabic,more than 5 years,no,I lived in a country where they spoke Arabic,English,less than 1 year,yes,Studied grammar;Studied vocabulary;Studied pronunciation;Wrote paragrphs/essays,,,no,,156;167;180;191;200;212;223;234;245;256,1-2 years,none,20
cn7,Male,1978,Arabic,Arabic,English,more than 5 years,yes,Had a native-speaker teacher;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Practiced reading aloud;Wrote paragrphs/essays,,,no,,,,no,,156;169;180;200;213;227;238;249;257,none,more than 5 years,20
bx5,Male,1983,Arabic,Arabic,Arabic,more than 5 years,no,I lived in a country where they spoke Arabic,English,less than 1 year,yes,Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Wrote paragrphs/essays,,,no,,158;169;180;191;202;212;226;237;248;259,less than 1 year,less than 1 year,23
as4,Male,1981,Korean,Korean,English,3-5 years,yes,Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs),,,no,,,,no,,158;169;180;191;202;215;226;237;248;259,3-5 years,none,25
co4,Male,1978,Arabic,Arabic;English,English,more than 5 years,no,Studied by myself;I learned from my friend who is a native speaker;I lived in a country where they spoke English,French,less than 1 year,yes,Studied grammar;Had a native-speaker teacher;Studied vocabulary;Listened to audio materials (tapes/CDs);Teacher spoke to me in French;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays,,,no,,158;169;180;202;217;228;239;250;261;348;349;350;351;352,more than 5 years,none,28
bm6,Male,1988,Arabic,Arabic,English,3-5 years,yes,Studied grammar;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays,,,no,,,,no,,156;167;179;200;213;224;238;249;257;276;287;298;320;353;354;355;356;357,1-2 years,1-2 years,19
en5,Female,1970,Chinese,Chinese,,,,,,,,,,,,,179;190,3-5 years,less than 1 year,37
fh9,Female,1971,Japanese,Japanese;English,English,more than 5 years,yes,Studied grammar;Studied vocabulary,,,no,,,,no,,179;204;215;226;237;252;263;350;353,more than 5 years,less than 1 year,34
an4,Male,1979,Korean,Korean,English,more than 5 years,yes,Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs);Studied pronunciation;Practiced reading aloud,Japanese,3-5 years,no,other,German,1-2 years,no,other,157;168;179;190;204,more than 5 years,3-5 years,27
co0,Male,1977,Arabic,Arabic;English,English,1-2 years,yes,Studied grammar;Worked in pairs/groups;Studied vocabulary;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes,,,no,,,,no,,157;168;179;190;201;215;226;237;248;259;277;288;299;321,1-2 years,3-5 years,29
eq8,Male,1982,Korean,Korean;English,English,3-5 years,yes,Studied grammar;Studied vocabulary;Practiced reading aloud;Teacher corrected my mistakes,,,no,,,,no,,157;168;179;190;201;215;226;237;248;259;287;320,3-5 years,less than 1 year,24
cw0,Female,1976,Korean,Korean,English,more than 5 years,yes,Studied grammar;Worked in pairs/groups;Studied vocabulary;Practiced speaking in class;Teacher spoke to me in English;Wrote paragrphs/essays,,,no,,,,no,,157;168;179;190;201;215;226;237;248;259;288;299;321,more than 5 years,less than 1 year,30
fd2,Male,1981,Arabic,Arabic,Russian,more than 5 years,yes,Studied grammar;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Teacher spoke to me in Russian;Studied pronunciation;Teacher corrected my mistakes;Wrote paragrphs/essays,English,more than 5 years,yes,Studied grammar;Studied vocabulary,,,no,,161;183;205,more than 5 years,less than 1 year,26
dr1,Female,1972,Spanish,Spanish;Portuguese,Portuguese,more than 5 years,no,Studied by myself;I learned from my friend who is a native speaker;I lived in a country where they spoke Portuguese;other,English,3-5 years,yes,Had a native-speaker teacher;Teacher spoke to me in English;Teacher corrected my mistakes;Wrote paragrphs/essays,,,no,,161;172;183;194;205,3-5 years,1-2 years,34
gt3,Male,1984,Arabic,Arabic,English,more than 5 years,yes,Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Teacher corrected my mistakes;other,,,no,,,,no,,156;167;178;189;200,more than 5 years,less than 1 year,23
da6,Female,1976,Spanish,Spanish,English,more than 5 years,yes,Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Teacher corrected my mistakes;Wrote paragrphs/essays,,,no,,,,no,,156;169;178;189;202,more than 5 years,less than 1 year,30
aw2,Male,1983,Thai,Thai;English;Chinese,English,more than 5 years,yes,Studied grammar;Had a native-speaker teacher;Studied vocabulary;Listened to audio materials (tapes/CDs);Wrote paragrphs/essays,Chinese,1-2 years,no,I learned from my friend who is a native speaker;other,,,no,,165;176;187;198;209,more than 5 years,less than 1 year,23
cc7,Female,1978,Thai,Thai;English,English,more than 5 years,yes,Studied grammar;Worked in pairs/groups;Studied vocabulary;Listened to audio materials (tapes/CDs);Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays,,,no,,,,no,,205,more than 5 years,none,28
cc4,Male,1984,Korean,Korean;English,English,3-5 years,yes,Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs),German,less than 1 year,yes,Studied vocabulary,,,no,,157;168;178;189;201;216;227;235;246;260;276;287;294;320,1-2 years,less than 1 year,23
fu3,Female,1983,Chinese,Chinese,English,more than 5 years,yes,Studied grammar;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays,,,no,,,,no,,178;189;212;223;234;245;256,more than 5 years,less than 1 year,24
dc1,Male,1988,Arabic,Arabic,English,more than 5 years,yes,Practiced speaking in class;Listened to audio materials (tapes/CDs),,,no,,,,no,,156;167;178;189;200;213;224;234;245;257;269;283;294;316,more than 5 years,less than 1 year,18
cq6,Male,1953,Spanish,Spanish,French,3-5 years,no,I lived in a country where they spoke French,English,less than 1 year,yes,Studied grammar;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Teacher corrected my mistakes;Wrote paragrphs/essays,,,no,,157;178;189;201,less than 1 year,less than 1 year,53
bl2,Female,1985,Thai,Thai;English,English,more than 5 years,yes,Studied grammar;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Teacher spoke to me in English;Studied pronunciation;Teacher corrected my mistakes,,,no,,,,no,,217;228;242;253;261;276;287;298;320,more than 5 years,less than 1 year,22
bu4,Female,1976,Korean,Korean,English,more than 5 years,yes,Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs);Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes,French,3-5 years,yes,Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs);Studied pronunciation;Teacher corrected my mistakes,,,no,,217;228;242;253;261;287,more than 5 years,less than 1 year,31
ac3,Female,1983,Chinese,Chinese,English,1-2 years,yes,Studied grammar;Had a native-speaker teacher;Studied vocabulary;Listened to audio materials (tapes/CDs);Studied pronunciation;Teacher corrected my mistakes;Wrote paragrphs/essays,,,no,,,,no,,217;228;242;253;261,more than 5 years,less than 1 year,24
ec9,Male,1972,Korean,Korean;English,English,more than 5 years,yes,Studied grammar;Studied vocabulary;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;other,German,1-2 years,yes,Studied grammar;Studied vocabulary;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;other,,,no,,219;230;241;252;263,more than 5 years,less than 1 year,35
aa8,Female,1976,Korean,Korean,English,more than 5 years,no,Studied by myself,French,1-2 years,yes,Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs);Studied pronunciation,,,no,,217;230;241;252;261;277;288;299;321,more than 5 years,1-2 years,30
gx2,Female,1975,Japanese,Japanese,English,more than 5 years,yes,Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays,,,no,,,,no,,216;227;238;249;260,more than 5 years,more than 5 years,32
fu6,Male,1979,Korean,Korean;German,German,more than 5 years,yes,Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in German;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays,English,more than 5 years,yes,Studied grammar;Studied vocabulary;Teacher spoke to me in English;Practiced reading aloud;Teacher corrected my mistakes,,,no,,213;227;238;249;257;272;287;298;316,more than 5 years,none,27
bl7,Female,1979,Chinese,Chinese;Taiwanese;English,English,less than 1 year,yes,Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays,,,no,,,,no,,213;227;238;249;257;272;287;298;316;394;398,more than 5 years,less than 1 year,27
fg2,Female,1978,Japanese,Japanese,English,more than 5 years,yes,Studied grammar;Worked in pairs/groups;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays,,,no,,,,no,,216;227;238;249;260,more than 5 years,none,28
gg5,Male,1975,Mongol,Mongol,English,3-5 years,no,Studied by myself,Russian,3-5 years,yes,Studied grammar;Had a native-speaker teacher;Practiced speaking in class;Teacher spoke to me in italian;Studied pronunciation,Italian,less than 1 year,yes,Studied grammar;Had a native-speaker teacher;Practiced speaking in class;Teacher spoke to me in italian;Teacher corrected my mistakes,213;227;238;249;257,1-2 years,less than 1 year,32
bm3,Male,1984,Korean,Korean,English,more than 5 years,yes,Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays,,,no,,,,no,,219;230;241;252;263;288;299,more than 5 years,less than 1 year,23
bz1,Male,1977,Chinese,English;Chinese;Taiwanese,Japanese,less than 1 year,no,Studied by myself,English,more than 5 years,yes,Studied grammar;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;other,,,no,,215;226;237;248;259;276;287;298;320,more than 5 years,none,30
eu0,Male,1981,Thai,Thai,English,more than 5 years,yes,Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs);Practiced reading aloud;Wrote paragrphs/essays,Chinese,3-5 years,yes,Studied grammar;Studied vocabulary;Teacher spoke to me in Chinese;Studied pronunciation;Practiced reading aloud;Wrote paragrphs/essays,,,no,,215;226;237;248;259;277;288;299;321,more than 5 years,less than 1 year,26
fy5,Female,1989,Korean,Korean,English,3-5 years,yes,Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs);Wrote paragrphs/essays,Japanese,less than 1 year,yes,Studied grammar;Studied vocabulary,,,no,,215;226;237;248;259,more than 5 years,1-2 years,18
fx2,Male,1985,Turkish,Turkish,English,less than 1 year,yes,Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays,,,no,,,,no,,213;224;235;246;257;269;285;296;307;318;338;341;342;349;350,none,less than 1 year,22
fm2,Female,1984,Chinese,Chinese;Taiwanese,Taiwanese,1-2 years,no,I learned from my friend who is a native speaker;I lived in a country where they spoke Taiwanese,English,more than 5 years,yes,Studied grammar;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays,,,no,,213;224;235;246;257;274;285;296;318,more than 5 years,more than 5 years,23
fz5,Female,1981,Chinese,Chinese,English,more than 5 years,yes,Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Teacher corrected my mistakes;Wrote paragrphs/essays,,,no,,,,no,,216;227;235;246;260,more than 5 years,more than 5 years,26
ac5,Male,1986,Korean,Korean,English,more than 5 years,no,I learned from my friend who is a native speaker;other,,,no,,,,no,,216;227;235;246;260;277;288;295;321;348;349;350;351;352,more than 5 years,less than 1 year,20
be2,Male,1957,Korean,Korean,English,3-5 years,yes,Studied grammar;Studied vocabulary;Teacher spoke to me in English,,,no,,,,no,,235;246;256;291;316,3-5 years,none,51
dc6,Female,1973,Spanish,Spanish,English,less than 1 year,yes,Studied grammar;Worked in pairs/groups;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Teacher corrected my mistakes,,,no,,,,no,,216;227;235;246;260;277;288;295;321,less than 1 year,less than 1 year,34
dt4,Female,1980,Chinese,Chinese,Chinese,more than 5 years,yes,Studied grammar;Worked in pairs/groups;Studied vocabulary;Listened to audio materials (tapes/CDs),English,3-5 years,yes,Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Teacher corrected my mistakes;Wrote paragrphs/essays,,,no,,213;224;235;246;257;272;283;294;316,more than 5 years,1-2 years,26
ha6,Male,1982,Korean,Korean,English,3-5 years,yes,Studied pronunciation;Teacher corrected my mistakes;Wrote paragrphs/essays,,,no,,,,no,,213;224;235;246;257;273;284;295;317,1-2 years,none,25
fd8,Male,1989,Turkish,Turkish,English,less than 1 year,yes,Studied grammar;Worked in pairs/groups;Studied vocabulary;Practiced speaking in class;Teacher spoke to me in English;Practiced reading aloud,,,no,,,,no,,213;224;235;257,1-2 years,1-2 years,18
ep8,Male,1981,Spanish,Spanish;Portuguese,Portuguese,more than 5 years,yes,Studied grammar;Worked in pairs/groups;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in Portuguese;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays,English,less than 1 year,yes,Studied grammar;Worked in pairs/groups;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Teacher corrected my mistakes,French,1-2 years,no,I learned from my friend who is a native speaker,235,less than 1 year,less than 1 year,26
dn6,Male,1954,Other,Telugu,English,1-2 years,yes,Studied grammar;Worked in pairs/groups;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays,,,no,,,,no,,213;224;235;246;257,none,none,52
fa2,Female,1983,Spanish,Spanish,English,less than 1 year,yes,Studied grammar;Had a native-speaker teacher;Teacher spoke to me in English;Studied pronunciation;Teacher corrected my mistakes,,,no,,,,no,,212;223;234;245;256;272;283;294;316;389;390;391;392;393,less than 1 year,less than 1 year,23
fl5,Male,1982,Korean,Korean,English,more than 5 years,yes,Studied grammar;Studied vocabulary;Studied pronunciation;Wrote paragrphs/essays,,,no,,,,no,,212;223;234;245;256;274;285;296;318,3-5 years,none,24
bb5,Male,1982,Taiwanese,Chinese;Taiwanese,Taiwanese,more than 5 years,no,I lived in a country where they spoke Taiwanese,English,1-2 years,yes,Studied grammar;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Studied pronunciation;Teacher corrected my mistakes;Wrote paragrphs/essays,,,no,,212;223;234;245;256,1-2 years,less than 1 year,25
gf7,Female,1986,Arabic,Arabic;English,English,more than 5 years,yes,Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays,,,no,,,,no,,212;223;234;245;256;273;284;295;317,more than 5 years,less than 1 year,20
ce7,Male,1980,Arabic,Arabic,English,more than 5 years,yes,Studied grammar;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays,,,no,,,,no,,212;223;234;256;269;280;294;313;367;369;373;375;376;430;431;438;439;447,more than 5 years,none,27
cw2,Female,1983,Spanish,Spanish,English,less than 1 year,yes,Studied grammar;Had a native-speaker teacher;Studied vocabulary;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Practiced reading aloud;Teacher corrected my mistakes,,,no,,,,no,,212;223;234;245;256,less than 1 year,less than 1 year,24
ft8,Male,1985,Japanese,Japanese,English,more than 5 years,yes,Studied grammar,,,no,,,,no,,215;226;234;248;259,more than 5 years,none,21
ae3,Female,1978,Taiwanese,Taiwanese,Taiwanese,more than 5 years,no,I lived in a country where they spoke Taiwanese,English,more than 5 years,yes,Studied grammar;Studied vocabulary;Practiced reading aloud,,,no,,212;223;234;245;256;274;285;296;318,more than 5 years,less than 1 year,28
bz5,Male,1974,Korean,Korean,English,more than 5 years,yes,Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs);Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes,,,no,,,,no,,215;223;234;245;259;277;284;295;321;355;357;363;389;390;391;392;393,less than 1 year,less than 1 year,33
ft3,Female,1972,Korean,Korean,English,more than 5 years,yes,Studied grammar;Studied vocabulary;Wrote paragrphs/essays,,,no,,,,no,,234,more than 5 years,more than 5 years,34
dy7,Female,1978,Korean,Korean,English,more than 5 years,yes,Studied grammar;Worked in pairs/groups;Studied vocabulary;Listened to audio materials (tapes/CDs);Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes,Japanese,1-2 years,yes,Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs);Studied pronunciation;Practiced reading aloud,,,no,,217;230;239;250;261;276;298;320,more than 5 years,less than 1 year,28
dz9,Female,1977,Japanese,Japanese,English,more than 5 years,yes,Studied grammar;Studied vocabulary;Studied pronunciation;Teacher corrected my mistakes,,,no,,,,no,,217;228;239;250;261;277;287;298;320,more than 5 years,less than 1 year,30
cn9,Male,1967,Spanish,Spanish,English,less than 1 year,yes,Had a native-speaker teacher;Practiced speaking in class;Teacher spoke to me in English;Teacher corrected my mistakes,,,no,,,,no,,217;228;239;250;261,less than 1 year,1-2 years,39
de5,Male,1974,Turkish,Turkish,English,more than 5 years,yes,Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Teacher corrected my mistakes;Wrote paragrphs/essays,German,3-5 years,yes,Studied grammar;Worked in pairs/groups;Studied vocabulary;Listened to audio materials (tapes/CDs);Teacher spoke to me in German;Teacher corrected my mistakes,,,no,,217;230;239;261,1-2 years,more than 5 years,33
ff2,Female,1988,Chinese,Chinese;English,English,less than 1 year,yes,Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays,,,no,,,,no,,217;228;239;250;261;277;288;299;321,less than 1 year,less than 1 year,19
co2,Male,1979,Japanese,Japanese,English,1-2 years,yes,Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays,,,no,,,,no,,217;230;239;250;263;277;288;299;321;363,1-2 years,1-2 years,27
cp8,Male,1979,Turkish,Turkish,English,1-2 years,yes,Studied grammar;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher corrected my mistakes;Wrote paragrphs/essays,,,no,,,,no,,217;228;239;261,1-2 years,none,28
dg3,Male,1973,Japanese,Japanese,English,more than 5 years,yes,Studied grammar;Studied vocabulary,German,less than 1 year,yes,Studied grammar,,,no,,217;228;239;250;261,more than 5 years,none,34
ai0,Male,1983,Korean,Korean;Arabic,English,more than 5 years,yes,Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs),Japanese,less than 1 year,yes,Studied grammar;Studied vocabulary,,,no,,213;224;235;246;257,more than 5 years,none,24
ae4,Male,1989,Spanish,Spanish,English,3-5 years,yes,Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Teacher corrected my mistakes,,,no,,,,no,,216;227;235;246;260,3-5 years,less than 1 year,18
ca3,Female,1968,Japanese,Japanese,Chinese,1-2 years,yes,Studied grammar;Worked in pairs/groups;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes,,,no,,,,no,,30;186;299;363,3-5 years,3-5 years,38
au2,Female,1987,Korean,Korean,Japanese,less than 1 year,yes,Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Studied pronunciation;Practiced reading aloud,,,no,,,,no,,273;284;299;317,more than 5 years,less than 1 year,20
dz7,Female,1986,Korean,Korean,English,more than 5 years,no,other,,,no,,,,no,,277;288;299;321;355;363,more than 5 years,none,20
eg8,Female,1964,Chinese,Chinese,Japanese,less than 1 year,no,Studied by myself,,,no,,,,no,,277;288;299;321,more than 5 years,more than 5 years,42
gy6,Female,1981,Chinese,Chinese,English,more than 5 years,yes,Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs);Studied pronunciation;Teacher corrected my mistakes,,,no,,,,no,,277;288;299;363,more than 5 years,less than 1 year,26
bm7,Female,1975,Portuguese,Portuguese;Spanish;French,French,more than 5 years,yes,Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in French;Teacher corrected my mistakes;Wrote paragrphs/essays,Spanish,3-5 years,no,Studied by myself;I learned from my friend who is a native speaker;other,,,no,,277;288;299;321;338;339;342;350;351,3-5 years,none,32
ek8,Female,1972,Korean,Korean,Spanish,1-2 years,yes,Studied grammar;Studied vocabulary;Studied pronunciation;Practiced reading aloud,,,no,,,,no,,298;353;363,more than 5 years,3-5 years,35
gl9,Female,1974,Japanese,Japanese,English,more than 5 years,yes,Studied grammar;Studied vocabulary,French,less than 1 year,yes,Studied grammar,,,no,,276;287;298;357,more than 5 years,more than 5 years,33
dr9,Female,1973,Chinese,Chinese;Japanese,,,,,,,,,,,,,298,more than 5 years,less than 1 year,34
fk3,Male,1972,Chinese,Chinese,English,more than 5 years,yes,Studied grammar;Worked in pairs/groups;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays,,,no,,,,no,,287;298;320;356,more than 5 years,1-2 years,35
dt3,Female,1963,Japanese,Japanese,German,more than 5 years,no,I lived in a country where they spoke German,French,1-2 years,yes,Studied grammar;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Teacher spoke to me in French;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes,,,no,,285;296;347;355;356;394;398,more than 5 years,less than 1 year,44
df9,Female,1979,Korean,Korean,English,more than 5 years,yes,Studied grammar;Worked in pairs/groups;Studied vocabulary;Studied pronunciation,,,no,,,,no,,283;296;350;352,more than 5 years,none,27
ci2,Male,1976,Chinese,Chinese;Taiwanese;English,Taiwanese,more than 5 years,no,Studied by myself;I lived in a country where they spoke Taiwanese,Japanese,less than 1 year,yes,Studied vocabulary;Practiced speaking in class;Teacher spoke to me in Japanese;Studied pronunciation,,,no,,274;285;296;318;353;354;355;356;357,more than 5 years,less than 1 year,31
ap4,Female,1977,Korean,Korean,English,more than 5 years,yes,Studied grammar;Studied vocabulary;Studied pronunciation;Practiced reading aloud,,,no,,,,no,,274;285;296;318;353;354;355;356;357,more than 5 years,none,30
